release_year,0
1925,1
1942,2
1943,3
1944,3
1945,3
1946,2
1947,1
1954,2
1955,3
1956,2
1958,3
1959,1
1960,4
1962,3
1963,2
1964,1
1965,2
1966,1
1967,5
1968,5
1969,2
1970,2
1971,5
1972,4
1973,10
1974,7
1975,6
1976,9
1977,7
1978,6
1979,11
1980,9
1981,9
1982,15
1983,9
1984,9
1985,9
1986,10
1987,7
1988,16
1989,13
1990,20
1991,17
1992,18
1993,22
1994,16
1995,19
1996,19
1997,30
1998,31
1999,33
2000,34
2001,36
2002,45
2003,49
2004,59
2005,73
2006,85
2007,85
2008,125
2009,137
2010,173
2011,166
2012,219
2013,267
2014,334
2015,541
2016,882
2017,1012
2018,1121
2019,996
2020,868
2021,31
